position,source_name,source_occurrence,canonical_name,entity,field_class,data_type,unit,null_count,null_percentage,unique_count,variability_class,min,max,mean,median,std,P01,P05,P25,P50,P75,P95,P99,zero_count,negative_count,sentinel_hits,top_values
81,Grid Fail,1,grid_fail,CHARGER,ALARM_FLAG,STRING,,0,0.0,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Not alarm (9608); Alarm (392)
82,Class-C SPD Fail,1,class_c_spd_fail,CHARGER,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9962); Alarm (38)
83,NE Voltage High Alarm,1,ne_voltage_high_alarm,ALARM,ALARM_FLAG,STRING,V,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9952); Alarm (48)
84,Line 1 Fail,1,line_1_fail,CHARGER,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9960); Alarm (40)
85,Line 2 Fail,1,line_2_fail,CHARGER,ALARM_FLAG,STRING,,0,0.0,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (10000)
86,Line 3 Fail,1,line_3_fail,CHARGER,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9955); Alarm (45)
87,Line 1 Over Voltage,1,line_1_over_voltage,CHARGER,CONTINUOUS_TELEMETRY,STRING,V,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9956); Alarm (44)
88,Line 2 Over Voltage,1,line_2_over_voltage,CHARGER,CONTINUOUS_TELEMETRY,STRING,V,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9976); Alarm (24)
89,Line 3 Over Voltage,1,line_3_over_voltage,CHARGER,CONTINUOUS_TELEMETRY,STRING,V,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9964); Alarm (36)
90,Line 1 Under Voltage,1,line_1_under_voltage,CHARGER,CONTINUOUS_TELEMETRY,STRING,V,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9999); Alarm (1)
91,Line 2 Under Voltage,1,line_2_under_voltage,CHARGER,CONTINUOUS_TELEMETRY,STRING,V,0,0.0,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (10000)
92,Line 3 Under Voltage,1,line_3_under_voltage,CHARGER,CONTINUOUS_TELEMETRY,STRING,V,0,0.0,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (10000)
93,Door Open,1,door_open,ALARM,ALARM_FLAG,STRING,,0,0.0,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,Not alarm (9744); Alarm (256)
94,Smoke Alarm,1,smoke_alarm,ALARM,ALARM_FLAG,STRING,,0,0.0,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (10000)
95,Emergency Stop Active,1,emergency_stop_active,ALARM,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9945); Alarm (55)
96,System Over Temperature,1,system_over_temperature,CHARGER,STATE,STRING,degC,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9995); Alarm (5)
97,Input Contactor Fail,1,input_contactor_fail,CONTACTOR,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9998); Alarm (2)
98,System Tilted,1,system_tilted,CHARGER,STATE,STRING,,0,0.0,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (10000)
99,Temperature Sensor Disconnected,1,temperature_sensor_disconnected,CHARGER,STATE,STRING,degC,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9922); Alarm (78)
100,System FAN Fail,1,system_fan_fail,CHARGER,ALARM_FLAG,STRING,,0,0.0,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (10000)
101,Filter Maintenance Warning,1,filter_maintenance_warning,ALARM,ALARM_FLAG,STRING,,0,0.0,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (10000)
102,Mains High,1,mains_high,CHARGER,STATE,STRING,,0,0.0,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (10000)
103,Mains Low,1,mains_low,CHARGER,STATE,STRING,,0,0.0,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (10000)
104,Grid Abnormal,1,grid_abnormal,CHARGER,ALARM_FLAG,STRING,,0,0.0,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (10000)
105,SD Card Not Present,1,sd_card_not_present,CHARGER,STATE,STRING,,0,0.0,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (10000)
106,SD Card Fail,1,sd_card_fail,CHARGER,ALARM_FLAG,STRING,,0,0.0,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (10000)
107,SD Card Crc Fail,1,sd_card_crc_fail,CHARGER,ALARM_FLAG,STRING,,0,0.0,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (10000)
108,Input RCBO Tripped,1,input_rcbo_tripped,ALARM,ALARM_FLAG,STRING,,0,0.0,1,CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (10000)
109,Temperature Sensor-1 Fail,1,temperature_sensor_1_fail,CHARGER,STATE,STRING,degC,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9980); Alarm (20)
110,Temperature Sensor-2 Fail,1,temperature_sensor_2_fail,CHARGER,STATE,STRING,degC,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9992); Alarm (8)
111,MCCB Tripped,1,mccb_tripped,ALARM,ALARM_FLAG,STRING,,0,0.0,2,NEAR_CONSTANT,,,,,,,,,,,,,0,0,,Not alarm (9925); Alarm (75)
112,Class-D SPD Fail Alarm,1,class_d_spd_fail_alarm,ALARM,ALARM_FLAG,STRING,,0,0.0,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 158}",Not alarm (9842); NA (158)
113,Ground Fault Alarm,1,ground_fault_alarm,ALARM,ALARM_FLAG,STRING,,0,0.0,3,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 158}",Not alarm (9834); NA (158); Alarm (8)
114,HVLV Cut-Off Alarm,1,hvlv_cut_off_alarm,ALARM,ALARM_FLAG,STRING,,0,0.0,3,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 158}",Not alarm (9810); NA (158); Alarm (32)
115,Auxillary MCB Trip Alarm,1,auxillary_mcb_trip_alarm,ALARM,ALARM_FLAG,STRING,,0,0.0,3,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 158}",Not alarm (9830); NA (158); Alarm (12)
116,All Rectifier Fail,1,all_rectifier_fail,RECTIFIER,ALARM_FLAG,STRING,,0,0.0,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,"{""NA"": 158}",Not alarm (9842); NA (158)
